Country,region,year,score,gdp
Thailand,Asia,2015,6.455,0.967
Togo,Africa,2019,4.085,0.275
Togo,Africa,2018,3.999,0.259
Togo,Africa,2017,3.495,0.305
Togo,Africa,2016,3.303,0.281
Togo,Africa,2015,2.839,0.209
Trinidad & Tobago,South America,2019,6.192,1.231
Trinidad & Tobago,South America,2018,6.192,1.223
Trinidad & Tobago,South America,2017,0.000,0.000
Trinidad & Tobago,South America,2016,0.000,0.000
Trinidad & Tobago,South America,2015,0.000,0.000
Tunisia,Africa,2019,4.461,0.921
Tunisia,Africa,2018,4.592,0.900
Tunisia,Africa,2017,4.805,1.007
Tunisia,Africa,2016,5.045,0.977
Tunisia,Africa,2015,4.739,0.881
Turkey,Asia,2019,5.373,1.183
Turkey,Asia,2018,5.483,1.148
Turkey,Asia,2017,5.500,1.198
Turkey,Asia,2016,5.389,1.165
Turkey,Asia,2015,5.332,1.061
Turkmenistan,Asia,2019,5.247,1.052
Turkmenistan,Asia,2018,5.636,1.016
Turkmenistan,Asia,2017,5.822,1.131
Turkmenistan,Asia,2016,5.658,1.080
Turkmenistan,Asia,2015,5.548,0.958
Uganda,Africa,2019,4.189,0.332
Uganda,Africa,2018,4.161,0.322
Uganda,Africa,2017,4.081,0.381
Uganda,Africa,2016,3.739,0.347
Uganda,Africa,2015,3.931,0.211
Ukraine,Europe,2019,4.332,0.820
Ukraine,Europe,2018,4.103,0.793
Ukraine,Europe,2017,4.096,0.895
Ukraine,Europe,2016,4.324,0.873
Ukraine,Europe,2015,4.681,0.799
United Arab Emirates,Asia,2019,6.825,1.503
United Arab Emirates,Asia,2018,6.774,2.096
United Arab Emirates,Asia,2017,6.648,1.626
United Arab Emirates,Asia,2016,6.573,1.574
United Arab Emirates,Asia,2015,6.901,1.427
United Kingdom,Europe,2019,7.054,1.333
United Kingdom,Europe,2018,7.190,1.244
United Kingdom,Europe,2017,6.714,1.442
United Kingdom,Europe,2016,6.725,1.403
United Kingdom,Europe,2015,6.867,1.266
United States,North America,2019,6.892,1.433
United States,North America,2018,6.886,1.398
United States,North America,2017,6.993,1.546
United States,North America,2016,7.104,1.508
United States,North America,2015,7.119,1.395
Uruguay,South America,2019,6.293,1.124
Uruguay,South America,2018,6.379,1.093
Uruguay,South America,2017,6.454,1.218
Uruguay,South America,2016,6.545,1.182
Uruguay,South America,2015,6.485,1.062
Uzbekistan,Asia,2019,6.174,0.745
Uzbekistan,Asia,2018,6.096,0.719
Uzbekistan,Asia,2017,5.971,0.786
Uzbekistan,Asia,2016,5.987,0.736
Uzbekistan,Asia,2015,6.003,0.632
Venezuela,South America,2019,4.707,0.960
Venezuela,South America,2018,4.806,0.996
Venezuela,South America,2017,5.250,1.128
Venezuela,South America,2016,6.084,1.134
Venezuela,South America,2015,6.810,1.044
Vietnam,Asia,2019,5.175,0.741
Vietnam,Asia,2018,5.103,0.715
Vietnam,Asia,2017,5.074,0.789
Vietnam,Asia,2016,5.061,0.740
Vietnam,Asia,2015,5.360,0.632
Yemen,Asia,2019,3.380,0.287
Yemen,Asia,2018,3.355,0.442
Yemen,Asia,2017,3.593,0.592
Yemen,Asia,2016,3.724,0.579
Yemen,Asia,2015,4.077,0.546
Zambia,Africa,2019,4.107,0.578
Zambia,Africa,2018,4.377,0.562
Zambia,Africa,2017,4.514,0.636
Zambia,Africa,2016,4.795,0.612
Zambia,Africa,2015,5.129,0.470
Zimbabwe,Africa,2019,3.663,0.366
Zimbabwe,Africa,2018,3.692,0.357
Zimbabwe,Africa,2017,3.875,0.376
Zimbabwe,Africa,2016,4.193,0.350
Zimbabwe,Africa,2015,4.610,0.271
